url,checked,street,city,state,zip_code,price,beds,baths,sqft,home_type,neighborhood,walk_score,transit_score,bike_score,sold_history
https://www.redfin.com/GA/Atlanta/1101-Juniper-St-NE-30309/unit-805/home/24636821,1,1101 Juniper St NE #805 ,"Atlanta<!-- -->, ",GA,30309,"245,000",1,1,764,Condo/Co-op,  Transportation in <!-- -->Midtown,90,63,69,"$174,000<span class=""number empty""> </span>:Aug 19, 2004"
https://www.redfin.com/GA/Atlanta/361-17th-St-NW-30363/unit-1922/home/24672300,1,361 17th St NW #1922 ,"Atlanta<!-- -->, ",GA,30363,"355,000",2,2,"1,045",Condo/Co-op,  Transportation in <!-- -->Atlantic Station,86,54,71,"$171,200<span class=""number empty""> </span>:Sep 16, 2011"
https://www.redfin.com/GA/Atlanta/878-Peachtree-St-NE-30309/unit-418/home/24797546,1,878 Peachtree St NE #418 ,"Atlanta<!-- -->, ",GA,30309,"287,000",1,1,954,Condo/Co-op,  Transportation in <!-- -->Midtown,91,64,74,"$215,000<span class=""number positive empty""> (3.7%/yr)</span>:Mar 27, 2017;$215,000<span class=""number empty""> </span>:Mar 24, 2017;$215,000<span class=""number empty""> </span>:Mar 24, 2017;$205,000<span class=""number positive empty""> (8.1%/yr)</span>:Dec 8, 2015;$205,000<span class=""number empty""> </span>:Nov 25, 2015;$185,900<span class=""number positive empty""> (1.3%/yr)</span>:Sep 8, 2014;$185,900<span class=""number empty""> </span>:Sep 5, 2014;$185,900<span class=""number empty""> </span>:Sep 5, 2014;$169,000<span class=""number empty""> </span>:May 23, 2007"
https://www.redfin.com/GA/Atlanta/1101-Juniper-St-NE-30309/unit-1104/home/24698343,1,1101 Juniper St NE #1104 ,"Atlanta<!-- -->, ",GA,30309,"365,000",2,2,"1,161",Condo/Co-op,  Transportation in <!-- -->Midtown,90,63,69,"$231,000<span class=""number negative empty""> (−0.9%/yr)</span>:May 22, 2013;$231,000<span class=""number empty""> </span>:May 10, 2013;$231,000<span class=""number empty""> </span>:May 10, 2013;$256,505<span class=""number empty""> </span>:Sep 18, 2001;$256,505<span class=""number empty""> </span>:Sep 18, 2001"
https://www.redfin.com/GA/Atlanta/742-Ponce-De-Leon-Ct-NE-30308/unit-1/home/173266572,1,742 Ponce De Leon Ct NE #1 ,"Atlanta<!-- -->, ",GA,30308,"699,000",3,2.5,"1,841",Single Family Residential,  Transportation in <!-- -->Midtown,93,38,80,
https://www.redfin.com/GA/Atlanta/480-Ansley-Walk-Ter-NE-30309/unit-480/home/173212446,1,480 E Ansley Walk Ter NE #480 ,"Atlanta<!-- -->, ",GA,30309,"425,000",2,2,"1,837",Condo/Co-op,  Transportation in <!-- -->Ansley Park,58,29,54,
https://www.redfin.com/GA/Atlanta/1463-La-France-St-NE-30307/unit-10/home/168186596,1,1463 LA France St NE #10 ,"Atlanta<!-- -->, ",GA,30307,"549,500",3,3.5,"2,032",Townhouse,  Transportation in <!-- -->Edgewood,64,49,67,
https://www.redfin.com/GA/Atlanta/912-Huff-Rd-NW-30318/unit-19/home/173973642,1,912 Huff Rd NW #19 ,"Atlanta<!-- -->, ",GA,30318,"444,177",3,3,"1,343",Townhouse,  Transportation in <!-- -->Blandtown,44,39,41,
https://www.redfin.com/GA/Atlanta/860-Peachtree-St-NE-30308/unit-1314/home/24785078,1,860 Peachtree St #1314 ,"Atlanta<!-- -->, ",GA,30308,"470,000",2,2,"1,211",Condo/Co-op,  Transportation in <!-- -->Midtown,91,64,74,"$315,000<span class=""number empty""> </span>:Sep 27, 2013;$315,000<span class=""number empty""> </span>:Sep 13, 2013"
https://www.redfin.com/GA/Atlanta/22-Airline-St-SE-30312/unit-202/home/174115106,1,22 Airline St #202 ,"Atlanta<!-- -->, ",GA,30312,"359,900",1,1,739,Condo/Co-op,  Transportation in <!-- -->Martin Luther King Jr. Landmark District,94,58,89,
